,sdg,relevance,fos_ids,fos_names,publication
1,SDG_2,3.0,"130217890, 2780267512","Biodiversity, Nestedness",https://marineinfo.org/id/publication/282186
2,SDG_3,2.0,"186079640, 130217890","Prevalence, Biodiversity",https://marineinfo.org/id/publication/282186
0,SDG_14,7.0,"2776048852, 2986842804, 2780495617","Ocean Biogeographic Information System, Black sea, Marine life",https://marineinfo.org/id/publication/100297
1,SDG_2,3.0,2986842804,Black sea,https://marineinfo.org/id/publication/100297
2,SDG_9,2.0,"19269812, 22607594","Satellite, Enabling",https://marineinfo.org/id/publication/100297
0,SDG_14,6.0,"518008717, 140302290, 130217890, 84766238","Arctic, Water mass, Biodiversity, Crustacean",https://marineinfo.org/id/publication/347720
1,SDG_13,2.0,518008717,Arctic,https://marineinfo.org/id/publication/347720
2,SDG_2,1.0,130217890,Biodiversity,https://marineinfo.org/id/publication/347720
0,SDG_15,6.0,"2992867484, 132124917, 194229684, 2779485152","Habitat suitability, Species distribution, Values, Convention on Biological Diversity",https://marineinfo.org/id/publication/254656
1,SDG_14,2.0,"130217890, 2983223943","Biodiversity, North sea",https://marineinfo.org/id/publication/254656
2,SDG_2,1.0,130217890,Biodiversity,https://marineinfo.org/id/publication/254656
0,SDG_3,1.0,2775899829,Globe,https://marineinfo.org/id/publication/290538
1,SDG_14,1.0,2777626579,Anthozoa,https://marineinfo.org/id/publication/290538
0,SDG_15,5.0,194229684,Values,https://marineinfo.org/id/publication/253031
1,SDG_11,1.0,115051666,Ranging,https://marineinfo.org/id/publication/253031
2,SDG_14,1.0,2985189572,Indian ocean,https://marineinfo.org/id/publication/253031
0,SDG_2,5.0,"143020374, 77044568","Coral, Reef",https://marineinfo.org/id/publication/317565
1,SDG_14,5.0,"143020374, 77044568","Coral, Reef",https://marineinfo.org/id/publication/317565
2,SDG_13,3.0,"3020675398, 77044568","Future climate, Reef",https://marineinfo.org/id/publication/317565
0,SDG_3,4.0,"130217890, 2775899829","Biodiversity, Globe",https://marineinfo.org/id/publication/298765
1,SDG_14,4.0,"16989226, 130217890","Environmental change, Biodiversity",https://marineinfo.org/id/publication/298765
2,SDG_2,3.0,130217890,Biodiversity,https://marineinfo.org/id/publication/298765
0,SDG_14,2.0,"134037308, 172269249","Marine habitats, Marine invertebrates",https://marineinfo.org/id/publication/281210
1,SDG_2,1.0,172269249,Marine invertebrates,https://marineinfo.org/id/publication/281210
2,SDG_15,1.0,187604713,Global biodiversity,https://marineinfo.org/id/publication/281210
0,SDG_15,3.0,"153427425, 53565203, 60359462","Biodiversity hotspot, Species richness, Extinction",https://marineinfo.org/id/publication/301983
1,SDG_2,1.0,60359462,Extinction,https://marineinfo.org/id/publication/301983
